lon,lat,descrip,idtipact,ubiref,estado
-74.78883,-9.56138,Superficie de 3.4388406 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-74.79832,-9.57283,Superficie de 3.447237 ha afectadas por actividades de minería ilegal. A la fecha esta superficie representa un pasivo ambiental.,Minería aluvial,Sector Alto Rio Negro,Pasivo
-72.51004,-14.72067,"Superficie de 1.211 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el sector San Martín, distrito de Huaynacotas",Minería por socavon,"Sector San Martin, Distrito de Huaynacotas",Pasivo
-72.50675,-14.72686,"Superficie de 7.264 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el sector San Martín, distrito de Huaynacotas",Minería por socavon,"Sector San Martin, Distrito de Huaynacotas",Pasivo
-72.51278,-14.77012,"Superficie de 0.296 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,Sector Amtacro,Pasivo
-72.50891,-14.77074,"Superficie de 0.789 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,Sector Antacro,Pasivo
-72.77563,-15.1084,"Superficie de 1.74 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antabamba, distrito de Hauynacotas",Minería por socavon,"Sector Antabamba,Distrito de Huaynacotas",Pasivo
-72.77052,-15.10108,"Superficie de 0.197 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antabamba, distrito de Hauynacotas",Minería por socavon,"Sector Antabamba, Distrito de Huaynacotas",Pasivo
-72.51113,-14.71937,"Superficie de 0.296 Ha aprox. afectada por actividades de minería ilegal, ubicada en el sector San Martín, distrito de Huaynacotas",Minería por socavon,"Sector de San Martín, distrito de Huaynacotas",Pasivo
-72.50516,-14.72284,"Superficie de 1.803 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el sector San Martín, distrito de Huaynacotas",Minería por socavon,"Sector San Martin, Distrito de Huaynacotas",Pasivo
-72.50383,-14.72355,"Superficie de 2.756 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el sector San Martín, distrito de Huaynacotas",Minería por socavon,"Sector San Martin, Distrito de Huaynacotas",Pasivo
-72.50772,-14.77108,"Superficie de 0.53 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,Sector Antacro,Pasivo
-72.50826,-14.77148,"Superficie de 0.164 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,Sector Antacro,Pasivo
-72.50762,-14.76979,"Superficie de 0.296 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,"Sector Antacro, Distrito de Puyca",Pasivo
-72.50853,-14.7699,"Superficie de 0.584 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,"Sector Antacro, Distrito de Puyca",Pasivo
-72.50933,-14.76884,"Superficie de 0.296 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,"Sector Antacro, Distrito de Puyca",Pasivo
-72.5088,-14.76857,"Superficie de 1.072 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antacro, distrito de Puyca",Minería por socavon,Sector Antacro,Pasivo
-72.77053,-15.10255,"Superficie de 0.133 Ha Aprox. afectada por actividades de minería ilegal, ubicado en el Sector Antabamba, distrito de Hauynacotas",Minería por socavon,Sector Antabamba,Pasivo
-75.18734,-15.00536,"Minería ilegal en la RN San Fernando, Sector Huaricangana Sur, en las coordenadas  E479915 y N8341108. Se observó a 12 personas y 05 campamentos",Minería por socavon,Sector Huaricangana Sur,Activo
-75.19451,-15.00718,"Minería ilegal en la RN San Fernando, Sector Huaricangana Sur, en las coordenadas  E478953 y N8340850. Se observó a 06 personas",Minería por socavon,Sector Sur,Activo
-75.22006,-14.98006,"Minería ilegal en la RN San Fernando, Sector Huaricangana Norte, en las coordenadas  E476339 y N83438572. Se observó a 05 personas y 04 ranchos",Minería por socavon,Sector Norte,Activo
-75.18537,-14.99681,"Minería ilegal en la RN San Fernando, Sector Huaricangana Norte, en las coordenadas  480039 y 8342017. Se observó a 2 personas, 2 ranchos y 1 socavón",Minería por socavon,Sector Norte,Activo
-75.24454,-14.97495,"Se observó actividad de minería ilegal abandonada, se observa 01 campamento y los socavones abandonados, en las coordenadas 18L 473701 y 8344426",Minería por socavon,Sector Norte del Cerro Huaricangana,Pasivo
-75.23341,-14.98204,"Se observó actividad de minería ilegal abandonada, 03 socavones pequeños y huellas antiguas de carros en las coordenadas 18L 474881 y 8343651",Minería por socavon,Sector Norte del Cerro Huaricangana,Pasivo
-75.23622,-14.97754,"Se observó actividad de minería ilegal abandonada, se observa huellas de carros antiguos, 03 socavones y 01 rancho abandonado",Minería por socavon,Sector Norte del Cerro Huaricangana,Pasivo
-77.18961,-9.97533,Plataforma de 20x1 m en la SC Tuco-Frente a la concesión Pararrayo con coordenadas UTM WGS84 259957E; 8896523N. Inf 007-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Pararrayo",Pasivo
-77.18968,-9.97494,Plataforma de 4x4 m en la SC Tuco con coordenadas UTM WGS84 259946E; 8896562N. Inf 007-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Pararrayo",Pasivo
-77.1897,-9.97481,Plataforma de 8x10 m en la SC Tuco con coordenadas UTM WGS84 259944E; 8896576N. Inf 007-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Pararrayo",Pasivo
-77.19298,-10.01341,"Campamento de tres ambientes (6x3, 4x3, 3x3) en la SC Tuco con coordenadas UTM WGS84 259619E; 8892305N. Inf 007-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Jhon Rafael",Pasivo
-77.43286,-9.25843,Plataforma de  80 m2 ubicada en la SC Vesubio con coordenadas UTM WGS84 232714E; 8975665N. Inf 008-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43607,-9.25811,"Campamentos 7 ambientes. Amb 1 de 3x4 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43609,-9.25814,"Campamentos 7 ambientes. Amb 2 de 3x4 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43607,-9.25814,"Campamentos 7 ambientes. Amb 3 de 3x4 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43603,-9.25813,"Campamentos 7 ambientes. Amb 4 de 12X3 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43197,-9.25945,"Plataforma 7x8 m, con coordenadas 232810 E; 8975551 N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Concesión Stela Polare ",Pasivo
-77.43214,-9.25924,"Campamento 3.5x10 m, con coordenadas 232789E; 8975574N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Concesión Stela Polare ",Pasivo
-77.43238,-9.25877,"Plataforma de 4x6 m, en las coordenadas 232765E; 8975625N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Concesión Stela Polare ",Pasivo
-77.43403,-9.25862,"Campamento 8x3 m, en las coordenadas 232586E; 8975642N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Bayococha",Pasivo
-77.15262,-9.79818,"Cancha de acopio de 20x6 m, en las coordenadas 263884E; 8 91614N. Ubicado en la SC Pongos II. Inf 010-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Pongos II, Paraje Allpacocha",Pasivo
-77.1911,-9.9738,Campamento de 11x4 m en la SC Tuco con coordenadas UTM WGS84 259792E; 8896687N. Inf 007-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Pararrayo",Pasivo
-77.19113,-9.97405,Campamento de 14x4 m en la SC Tuco con coordenadas UTM WGS84 259784E; 8896658N. Inf 007-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Pararrayo",Pasivo
-77.19375,-10.01329,Campamento de cinco ambientes 2(6x4) y 3(3x3) en la SC Tuco con coordenadas UTM WGS84 259526E; 8892319N. Inf 007-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Tuco, Frente a la Concesión Jhon Rafael",Pasivo
-77.43306,-9.25855,Plataforma de 3x3 m ubicada en la SC Vesubio con coordenadas UTM WGS84 232691E; 8975650 N. Inf 008-2015-SERNANP-PNH/GDO,Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43596,-9.25812,"Campamentos 7 ambientes. Amb 5 de 3X4 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43613,-9.25812,"Campamentos 7 ambientes. Amb 6 de 3X4 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43613,-9.25816,"Campamentos 7 ambientes. Amb 7 de 3X4 m, ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Canchahirca desvío a Bayococha",Pasivo
-77.43194,-9.25945,"Campamentos de 3X10 m, con coordenadas 232811E; 8975551N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Concesión Stela Polare ",Pasivo
-77.43122,-9.25788,"Campamento 6 ambientes de 3(4x3) y 3(3x3) m, con coordenadas 232892E; 8975724N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Vesubio,Pasivo
-77.4335,-9.25867,"Cancha de acopio de 6x6 m, en las coordenadas 232638E; 8975636N. Ubicado en la SC Vesubio. Inf 008-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Vesubio, Bayococha",Pasivo
-77.15306,-9.79787,"Rajo abierto de 50x2 m, en las coordenadas 263847E; 8916192N. Ubicado en la SC Pongos II. Inf 010-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pongos II,Pasivo
-77.15248,-9.79714,"Rajo abierto de 50x2 m, en las coordenadas 263896E; 8916257N. Ubicado en la SC Pongos II. Inf 010-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pongos II,Pasivo
-77.15329,-9.79775,"Cancha de acopio de 18x3 m, en las coordenadas 263819E; 8916197N. Ubicado en la SC Pongos II. Inf 010-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Pongos II, paraje Allpacocha",Pasivo
-77.1522,-9.79797,"Rajo abierto de 5x1 m, en las coordenadas 263931E; 8916197N. Ubicado en la SC Pongos II. Inf 010-2015-SERNANP-PNH/GDO",Minería por socavon,"Subcuenca Pongos II, paraje Allpacocha",Pasivo
-77.20424,-9.67,"Cancha de acopio de 6x10 m, en las coordenadas 258115E; 8930293N. Ubicado en la SC Pongos II. Inf 011-2015-SERNANP-PNH/GDO",Minería por socavon,Quebrada Pucavado/Huallmish,Pasivo
-77.2069,-9.67053,"Cancha de acopio de 10X2 m, en las coordenadas 257837E; 8930230N. Ubicado en la SC Pongos II. Inf 011-2015-SERNANP-PNH/GDO",Minería por socavon,Quebrada Pucavado/Huallmish,Pasivo
-77.41604,-9.13828,"Cancha de acopio, en las coordenadas 234469E; 8988974N. Ubicado en la SC Pongos II. Inf 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Carguanga -Alfa Omega I,Pasivo
-77.41628,-9.13835,"Cancha de acopio de 2x10 m, en las coordenadas 234441E; 8988960N. Ubicado en la SC Pongos II. Inf 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Anteo,Pasivo
-77.41809,-9.13989,"Cancha de 10x5 m, en las coordenadas 234246E; 8988792N. Ubicado en la SC Camchas. Inf 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Pumpash-Alfa Omega 1,Pasivo
-77.41671,-9.13823,"Campamento rustico de 4 ambientes, en las coordenadas 234397E; 8988977N. Ubicado en la SC Camchas. Inf 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Anteo,Pasivo
-77.41818,-9.13992,"Cancha de 10x5 m, en las coordenadas 234237E; 8988787N. Ubicado en la SC Camchas. Inf 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Pumpash-Alfa Omega 1,Pasivo
-77.41867,-9.14043,"Campamento de 2 ambientes 2.5x5 m; 10x3 m, en las coordenadas 234185E; 8988738N. Ubicado en la SC Camchas. Inf 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Pumpash-Alfa Omega 1,Pasivo
-77.4198,-9.14255,"Campamento de 4x4 m en las coordenadas 234054E 8988500N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Carguanga – Mina Milagros F,Pasivo
-77.41972,-9.14319,"Desmontes en las coordenadas 234068E 8988432N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Pumpash – Mina Milagros F,Pasivo
-77.42839,-9.12905,"Campamento de 12x4 m en las coordenadas 233113E 8989982N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/C Laborion,Pasivo
-77.42691,-9.14785,"Desmonte de 1x2.5 m en las coordenadas 233280E 8987906N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/C Laborion,Pasivo
-77.28483,-9.93905,"Rajo abierto de 7x0.60 m en las coordenadas 249482E 8900463N, ubicado en la Subcuenca Pekeipalka. Informe N 015-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pekeipalka/Ocollo,Pasivo
-77.28405,-9.93663,"Rajo abierto de 5x1.5 m en las coordenadas 249567E 8900732N, ubicado en la Subcuenca Pekeipalka. Informe N 015-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pekeipalka/Ocollo,Pasivo
-77.21937,-9.89496,"Plataforma de 10x5 m en las coordenadas 256632E 8905385N, ubicado en la Subcuenca Pachacoto. Informe N 017-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.2211,-9.89477,"Campamento de 6x3 m, dos ambientes, en las coordenadas 256443E 8905413N, ubicado en la Subcuenca Pachacoto. Informe N 017-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22167,-9.89467,Campamento de 4 ambientes 5x4; 4x3; 3x2.5; 3x3 m con coordenadas 256380E 8905415N ubicado en la Subcuenca Pachacoto Informe N 017-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22294,-9.89442,Cancha de acopio de 20 m de radio en las coordenadas 256238E 8905446N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22547,-9.89295,Campamento de 7x30 m en las coordenadas 255955E 8905614N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22507,-9.88942,Campamento de 8x20 m de 10 ambientes en las coordenadas 255991E 8906001N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22512,-9.88955,Campamento de 8x20 m de 10 ambientes en las coordenadas 256015E 8905982N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22596,-9.88987,Plataforma de concreto de 6x10 m en las coordenadas 255906E; 8905948N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22611,-9.88977,Campamento de 10x24 m las coordenadas 255878E; 8905962N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22662,-9.88947,Relavera ubicada en las coordenadas 255836E; 8905996N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.41962,-9.14358,"Cancha de acopio en las coordenadas 234078E 8988383N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Pumpash – Mina Milagros F,Pasivo
-77.41757,-9.14779,"Planta de Fundición de 500 m2 en las coordenadas 234311E 8987965N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Pumpash – Mina Milagros F,Pasivo
-77.42544,-9.12909,"Campamentos en las coordenadas 233428E 8989981N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/C Laborion,Pasivo
-77.42471,-9.14424,"Rajo abierto 3x8 m en las coordenadas 233520E 8988307N, ubicado en la Subcuenca Camchas/Carguanga. Informe N 013-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Camchas/Qda. Carguanga,Pasivo
-77.28407,-9.9365,"Rajo abierto de 10x1 m en las coordenadas 249564E 8900746N, ubicado en la Subcuenca Pekeipalka. Informe N 015-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pekeipalka/Ocollo,Pasivo
-77.1645,-9.95827,"Fundición de 50x3 m y plataforma de 20x8m en las coordenadas 262699E 8898429N, ubicado en la Subcuenca Pekeipalka. Informe N 017-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Piskaragra/Qda. Chira,Pasivo
-77.16455,-9.9586,"Cancha de acopio de minerales de 6x15m en las coordenadas 262689E 8898386N, ubicado en la Subcuenca Pekeipalka. Informe N 017-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Piskaragra/Qda. Chira-Ticahuai,Pasivo
-77.16482,-9.95865,"Cancha de acopio de minerales de 10x5 m en las coordenadas 262662E 8898383N, ubicado en la Subcuenca Pekeipalka. Informe N 017-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Piskaragra/Qda. Chira-Ticahuai,Pasivo
-77.22071,-9.89453,"Rampa de 40 m de largo en las coordenadas 256469E 8905446N, ubicado en la Subcuenca Pachacoto. Informe N 017-2015-SERNANP-PNH/GDO",Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22559,-9.89364,Campamento de 8x20 m de 10 ambientes en las coordenadas 255956E 8905528N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22542,-9.89281,Campamento de 3 ambientes 4x10; 4x10; 3.5x6 en las coordenadas 255967E 8905625N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22482,-9.88956,Campamento de 8x20 m de 10 ambientes en las coordenadas 256036E 8905981N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon,Pasivo
-77.22587,-9.88953,Plataforma de concreto de 10x10 m en las coordenadas 255914E 8905986N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon ,Pasivo
-77.22626,-9.89004,Fundición de 20 m de largo en las coordenadas 255870E; 8905932N ubicado en la Subcuenca Pachacoto Informe N 018-2015-SERNANP-PNH/GDO,Minería por socavon,Subcuenca Pachacoto – Santon,Pasivo
-70.78141,-13.12094,"Superficie de 3.34 ha aprox. afectada por mineria ilegal en el sector Nusinuscato, en las coordenadas 306871E 8548849N",Minería aluvial,Sector Nusinoscato/Santa Isidora,Pasivo
-70.77981,-13.12627,"Superficie de 2.257 ha aprox. afectada por mineria ilegal en el sector Nusinuscato, en las coordenadas 307080E 8548059N",Minería aluvial,Sector Nusinoscato/Santa Isidora,Pasivo
-70.77908,-13.12549,"Superficie de 0.511 ha aprox. afectada por mineria ilegal en el sector Nusinuscato, en las coordenadas 307125E 8548263N",Minería aluvial,Sector Nusinoscato/Santa Isidora,Pasivo
-70.78059,-13.12471,Superficie de 1.571 ha aprox. afectada por mineria ilegal en el sector Nusinuscato,Minería aluvial,Sector Nusinoscato/Santa Isidora,Pasivo
-70.62557,-12.88874,Superficie afectada por mineria ilegal en el sector Siete Diablos,Minería aluvial,Sector Siete Diablos,Pasivo
-70.61143,-12.88089,Superficie de 4.998 ha aprox. afectada por mineria ilegal en el sector Siete Diablos,Minería aluvial,Sector Siete Diablos,Pasivo
-70.62232,-12.89187,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 61.19 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.62318,-12.88636,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 4.455 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.61013,-12.88018,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 2.96 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.6176,-12.89517,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 41.185 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.60103,-12.88186,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 0.556 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.60936,-12.88591,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 0.995 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.60365,-12.88877,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 0.392 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.59973,-12.89051,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 1.633 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.60473,-12.89675,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 2.112 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.60426,-12.88008,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 5.093 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.60217,-12.89941,"Pasivo minero, ubicado en la ZA de la RCA con una superficie de 10.397 Ha aprox. en el Sector Siete Diablos",Minería aluvial,Sector Siete Diablos,Pasivo
-70.77349,-13.12774,"Superficie de 3.34 ha aprox. afectada por mineria ilegal en el sector Nusinuscato, en las coordenadas 307937E 8548018N",Minería aluvial,Sector Nusinoscato/Santa Isidora,Pasivo
